[10, 18, 25, 32, 38, 44, 51, 57, 64]
[10, 18, 26, 32, 38, 44, 50, 56, 62, 68]
[10, 16, 23, 29, 35, 41, 47, 53, 59, 65]
[10, 17, 24, 30, 36, 42, 48, 54, 59, 64]
[10, 17, 24, 30, 36, 42, 48, 54, 60, 65]
[10, 15, 21, 27, 33, 37, 42, 47, 54, 60, 67]
[10, 15, 20, 26, 32, 36, 40, 45, 52, 58, 63]
[10, 16, 21, 26, 32, 36, 42, 47, 54, 60]
[10, 16, 23, 30, 36, 42, 48, 54, 60, 66]
[10, 15, 21, 27, 32, 36, 40, 45, 52, 58, 63]
[10, 15, 20, 25, 30, 35, 40, 45, 51, 57, 63]
[10, 15, 21, 27, 32, 36, 41, 46, 52, 58]
[10, 16, 22, 29, 35, 41, 48, 54, 60, 66]
[10, 18, 26, 30, 34, 39, 44, 48, 52, 55, 59]
[10, 17, 25, 31, 37, 44, 49, 54, 60, 64, 68]
[10, 18, 26, 32, 38, 45, 51, 56, 62, 67]
[10, 18, 26, 31, 36, 42, 48, 52, 56, 61, 65]
